Month/day, Cold Warning, Wind Warning, Low(°C), High(°C), Average(°C)
January
Day: 1,   , [Warning winds up to 22.0 km/h], -3.0°C, -0.5°C, -1.6124999999999998°C, 
Day: 2,   , [Warning winds up to 24.0 km/h], -1.4°C, 5.5°C, 3.5666666666666664°C, 
Day: 3,   ,   , 1.7°C, 6.1°C, 4.7333333333333325°C, 
Day: 4,   ,   , -0.7°C, 1.7°C, 0.5208333333333333°C, 
Day: 5,   , [Warning winds up to 26.0 km/h], -3.0°C, 0.5°C, -1.008333333333333°C, 
Day: 6,   , [Warning winds up to 29.0 km/h], -1.6°C, 0.9°C, 0.012500000000000067°C, 
Day: 7,   ,   , -7.2°C, 3.1°C, -1.2416666666666656°C, 
Day: 8,   , [Warning winds up to 37.0 km/h], -8.6°C, 0.0°C, -4.8375°C, 
Day: 9,   , [Warning winds up to 30.0 km/h], -14.4°C, 0.3°C, -7.529166666666668°C, 
Day: 10,   , [Warning winds up to 25.0 km/h], 1.1°C, 7.0°C, 5.383333333333333°C, 
Day: 11,   , [Warning winds up to 23.0 km/h], 1.3°C, 11.3°C, 5.079166666666667°C, 
Day: 12,   , [Warning winds up to 32.0 km/h], -7.3°C, 1.0°C, -4.499999999999999°C, 
Day: 13,   ,   , -6.7°C, 0.8°C, -2.6874999999999996°C, 
Day: 14,   , [Warning winds up to 23.0 km/h], -1.6°C, 2.5°C, -0.5249999999999998°C, 
Day: 15,   ,   , 0.6°C, 3.1°C, 2.020833333333333°C, 
Day: 16,   , [Warning winds up to 39.0 km/h], -11.3°C, 0.6°C, -2.779166666666667°C, 
Day: 17, [Extreme cold Warning], [Warning winds up to 21.0 km/h], -15.3°C, -9.7°C, -12.195833333333333°C, 
Day: 18,   , [Warning winds up to 35.0 km/h], -10.1°C, 1.8°C, -4.366666666666666°C, 
Day: 19,   , [Warning winds up to 34.0 km/h], -11.3°C, 0.5°C, -5.845833333333334°C, 
Day: 20, [Extreme cold Warning], [Warning winds up to 21.0 km/h], -15.9°C, -5.5°C, -10.491666666666665°C, 
Day: 21,   , [Warning winds up to 21.0 km/h], -14.6°C, -2.6°C, -7.7250000000000005°C, 
Day: 22,   , [Warning winds up to 23.0 km/h], -6.9°C, 0.8°C, -3.241666666666667°C, 
Day: 23,   ,   , -8.5°C, 3.0°C, -2.212500000000001°C, 
Day: 24,   , [Warning winds up to 22.0 km/h], -2.1°C, 3.6°C, 1.0916666666666666°C, 
Day: 25,   , [Warning winds up to 27.0 km/h], 1.0°C, 2.4°C, 1.5875000000000004°C, 
Day: 26,   ,   , 0.4°C, 3.1°C, 1.4833333333333334°C, 
Day: 27,   , [Warning winds up to 24.0 km/h], -0.7°C, 0.9°C, 0.01666666666666672°C, 
Day: 28,   ,   , -2.3°C, 0.2°C, -0.9249999999999999°C, 
Day: 29,   , [Warning winds up to 20.0 km/h], -8.5°C, -3.1°C, -6.304166666666666°C, 
Day: 30,   ,   , -9.5°C, -3.2°C, -5.675°C, 
Day: 31,   ,   , -4.7°C, -0.9°C, -2.766666666666666°C, 
[Weekly Report]
  ,   ,   , -7.2°C, 6.1°C, 0.7101190476190479°C, 
  ,   ,   , -14.4°C, 11.3°C, -1.3738095238095238°C, 
  ,   ,   , -15.9°C, 3.1°C, -5.9119047619047596°C, 
  ,   ,   , -8.5°C, 3.6°C, -0.31428571428571417°C, 
  ,   ,   , -9.5°C, -0.9°C, -4.872222222222224°C, 
[Month Report]
  ,   ,   , -15.9°C, 11.3°C, -2.0314516129032247°C, 
February
